id,text,author
id10349,If for a moment he shewed curiosity my eyes fell my voice died away and my evident suffering made him quickly endeavour to banish the ideas he had awakened; yet he for ever mingled consolation in his talk and tried to soften my despair by demonstrations of deep sympathy and compassion.,MWS
id04578,One of very remarkable character and of which the circumstances may be fresh in the memory of some of my readers occurred not very long ago in the neighboring city of Baltimore where it occasioned a painful intense and widely extended excitement.,EAP
id18521,As we drew nearer the green shore the bearded man told me of that land the Land of Zar where dwell all the dreams and thoughts of beauty that come to men once and then are forgotten.,HPL
id23201,"Ven I go marry my segonde usbande Monsieur Lalande at dat time I had de portraite take for my daughter by my first usbande Monsieur Moissart"" ""Moissart"" said I. ""Yes Moissart"" said she mimicking my pronunciation which to speak the truth was none of the best ""and vat den?",EAP
id02231,Yet I dreaded to witness the anguish which my resolve might excite in Idris.,MWS
id02649,You have given me new wants and now your trifle with me as if my heart were as whole as yours as if I were not in truth a shorn lamb thrust out on the bleak hill side tortured by every blast.,MWS
id22480,The very difference of our dispositions gave zest to these conversations.,MWS
id17798,and some were strangely robed . . .,HPL
id21109,There are six candles on the board of the Automaton during exhibition.,EAP
id14486,I pondered upon their conformation.,EAP
id02794,"""The family after having been thus occupied for a short time extinguished their lights and retired as I conjectured to rest.""",MWS
id02498,We cut branches of the funereal trees and placed them over him and on these again his sword.,MWS
id04929,The material seemed to be predominantly gold though a weird lighter lustrousness hinted at some strange alloy with an equally beautiful and scarcely identifiable metal.,HPL
id19683,Guess they must die of looking in the glass Animals hate 'em they used to have lots of horse trouble before autos came in.,HPL
id00278,Two Lascar sailors at once helped him to his feet but before the ambulance could reach him he was dead.,HPL
id12230,These had been torn out by the roots.,EAP
id17464,My hand was already on the lock of the door before I recollected myself.,MWS
id17124,Prone at all times to abstraction I readily fell in with his humor; and continuing to occupy our chambers in the Faubourg Saint Germain we gave the Future to the winds and slumbered tranquilly in the Present weaving the dull world around us into dreams.,EAP
id24157,Social feeling and sympathy constituted a marked feature in my disposition.,MWS
id18972,But West's gentle enemies were no less harassed with prostrating duties.,HPL
id04123,I revolved rapidly in my mind a multitude of thoughts and endeavoured to arrive at some conclusion.,MWS
id23320,Let us pursue our fancies.,EAP
id03654,One of his most intimate friends was a merchant who from a flourishing state fell through numerous mischances into poverty.,MWS
id21827,It wasn't the scaly claws nor the mould caked body nor the half hooved feet none of these though any one of them might well have driven an excitable man to madness.,HPL
id22123,But while we were up I had thrown a quick glance around and that one glance was all sufficient.,EAP
id24275,And now now I shuddered in her presence and grew pale at her approach; yet bitterly lamenting her fallen and desolate condition I called to mind that she had loved me long and in an evil moment I spoke to her of marriage.,EAP
id25396,Their numbers ably arranged; the very deaths among them concealed; moving on in good order and apparently given up to enjoyment they excited the envy of the Irish.,MWS
id12314,OF course I shall not pretend to consider it any matter for wonder that the extraordinary case of M. Valdemar has excited discussion.,EAP
id22101,I felt subtly that the apartment of this ancient victim was best for my purposes.,HPL
id02086,Haow'd ye like to be a little shaver alone up in a cupalo a watchin' shapes as wa'n't human shapes? . . .,HPL
id10076,After much patient instruction regarding its focussing and use they left the telescope with the frightened group that remained in the road; and as they climbed they were watched closely by those among whom the glass was passed around.,HPL
id09813,To gain a partial relief from the general tension I busied myself by transferring this hardware to the vacant place with the aid of a handy three in one device including a screw driver which I kept on my key ring.,HPL
id17211,Some unknown attraction was pulling his eyes in a seemingly irrelevant direction for he could not help staring at a certain vacant spot on the floor.,HPL
id03375,They had indeed come themselves from the stars and brought Their images with Them.,HPL
id02027,But of late days I had given myself up entirely to wine; and its maddening influence upon my hereditary temper rendered me more and more impatient of control.,EAP
id07306,Pestilence then made a pause in her death dealing career.,MWS
id12569,Besides they really knew very little; for wide salt marshes desolate and unpeopled keep neighbours off from Innsmouth on the landward side.,HPL
id24925,"""It is done"" I cried with all the enthusiasm that I could muster at the moment.",EAP
id14174,In about twenty minutes our first buoy dipped and at the touch of the second soon afterwards we remained stationary as to elevation.,EAP
id23145,His body was a wine pipe or a rum puncheon or something of that character and had a truly Falstaffian air.,EAP
id27538,Mem: at  feet elevation the sky appears nearly black and the stars are distinctly visible; while the sea does not seem convex as one might suppose but absolutely and most unequivocally concave.,EAP
id00365,"Away with those blood stained arms and hasten some of you to bind up these wounds.""",MWS
id19737,"Come then no more delay thou tardy one Behold the pleasant potion Look I am a spirit of good and not a human maid that invites thee and with winning accents oh that they would win thee says Come and drink.""",MWS
id06764,That was the end of our voluntary searchings in the caverns of dream.,HPL
id27707,I hated the mocking moon the hypocritical plain the festering mountain and those sinister mounds.,HPL
id08843,Apparently this acidulous matron was right; for about a.m. the whole house was aroused by cries coming from West's room where when they broke down the door they found the two of us unconscious on the blood stained carpet beaten scratched and mauled and with the broken remnants of West's bottles and instruments around us.,HPL
id25999,"""The winter advanced and an entire revolution of the seasons had taken place since I awoke into life.",MWS
id21329,A mutiny has been the result; and as is usual upon such occasions all human efforts will be of no avail in quelling the mob.,EAP
id00186,He walked impassive through the cities of men and sighed because no vista seemed fully real; because every flash of yellow sunlight on tall roofs and every glimpse of balustraded plazas in the first lamps of evening served only to remind him of dreams he had once known and to make him homesick for ethereal lands he no longer knew how to find.,HPL
id12678,Hope only supported me the hope that I should not be too late.,MWS
id05203,In the final of the Somnambula she brought about a most remarkable effect at the words: Ah non guinge uman pensiero Al contento ond 'io son piena.,EAP
id16293,"You will remember that one or two of the wise among our forefathers wise in fact although not in the world's esteem had ventured to doubt the propriety of the term ""improvement"" as applied to the progress of our civilization.",EAP
id14905,"I rushed to her defence but rage made them blind and deaf; they did not distinguish my Christian garb or heed my words words were blunt weapons then for while war cried ""havoc"" and murder gave fit echo how could I Turn back the tide of ills relieving wrong With mild accost of soothing eloquence?",MWS
id26071,And in the direction or concentration of this effort or more properly in its adaptation to the eyes which were to behold it on earth he perceived that he should be employing the best means laboring to the greatest advantage in the fulfilment not only of his own destiny as poet but of the august purposes for which the Deity had implanted the poetic sentiment in man.,EAP
id15709,The occupation is often full of interest and he who attempts it for the first time is astonished by the apparently illimitable distance and incoherence between the starting point and the goal.,EAP
id01997,I no longer despair but look on all around me with placid affection.,MWS
id00032,Had the body been in any respect despoiled?,EAP
id20488,"It was after my return from one of these rambles that my father calling me aside thus addressed me ""I am happy to remark my dear son that you have resumed your former pleasures and seem to be returning to yourself.",MWS
id20315,Of his mind I say nothing of course.,EAP
id12214,Twice again it swung and a sharp sense of pain shot through every nerve.,EAP
id13326,He sets his arms a kimbo.,EAP
id15846,Agatha fainted and Safie unable to attend to her friend rushed out of the cottage.,MWS
id14910,"He took me into his confidence gave me a permanent situation as Thomas Hawk of the ""Lollipop"" and as for the present he could afford me no salary allowed me to profit at discretion by his advice.",EAP
id03426,Finally he decided to lay a base of three parallel with the wall to place upon this two layers of two each and upon these a single box to serve as the platform.,HPL
id18730,I barely fancied that as I awoke a light had been hurriedly extinguished within the sunken sepulchre.,HPL
id11609,"""As night came on Agatha and the Arabian retired early.",MWS
id27794,I saw no cause for their unhappiness but I was deeply affected by it.,MWS
id21060,I continued walking in this manner for some time endeavouring by bodily exercise to ease the load that weighed upon my mind.,MWS
id18246,The rooms were crowded to suffocation.,EAP
id13979,"""Here then is a card my life.",EAP
id09283,When the time mentioned had expired we had reached a depth of five feet and yet no signs of any treasure became manifest.,EAP
id10887,"""It could not have been more than two minutes afterward until we suddenly felt the waves subside and were enveloped in foam.",EAP
id14292,Here he knew strange things had happened once and there was a faint suggestion behind the surface that everything of that monstrous past might not at least in the darkest narrowest and most intricately crooked alleys have utterly perished.,HPL
id00779,I again nodded my head in assent.,EAP
id12865,If moreover a body has risen to the surface through firing of cannon it will not 'sink again if let alone' until decomposition has so far progressed as to permit the escape of the generated gas.,EAP
id05625,It had been rather presumptuous of him to open the unlocked door after knocking had failed to rouse a response but he had needed the help very badly and thought that his host would not mind a gentle prodding awake.,HPL
id22356,I journied all day; every moment my misery encreased and the fever of my blood became intolerable.,MWS
id05226,But she was humble and obedient and sat meekly for many weeks in the dark high turret chamber where the light dripped upon the pale canvas only from overhead.,EAP
id08612,And then had come the scourge grinning and lethal from the nightmare caverns of Tartarus.,HPL
id25889,The Herr Johann Hermann Hermann commenced the perusal of this epistle with a scowl which however was converted into a smile of the most ludicrous self complacency as he came to the rigmarole about Injuriae per applicationem per constructionem et per se.,EAP
id26908,To be happy at any one point we must have suffered at the same.,EAP
id26245,Fronting him sixthly and lastly was situated a singularly stiff looking personage who being afflicted with paralysis must to speak seriously have felt very ill at ease in his unaccommodating habiliments.,EAP
id22940,This verbal jumble was the key to the recollection which excited and disturbed Professor Angell.,HPL
id02174,I told him of the business of the evening and a smile relaxed the contracted muscles.,MWS
id08416,Many of the crowded family degenerated moved across the valley and merged with the mongrel population which was later to produce the pitiful squatters.,HPL
id23517,"""As I felt the sickening sweep of the descent I had instinctively tightened my hold upon the barrel and closed my eyes.",EAP
id05425,Our little town of Windsor in which the survivors from the neighbouring counties were chiefly assembled wore a melancholy aspect.,MWS
id03411,Raymond and I made a part of the concert and Adrian and Perdita were devout listeners.,MWS
id12602,It happened once before but the man got frightened and shot himself.,HPL
id10488,Before she had been visited by pangs of fear now she never enjoyed an interval of hope.,MWS
id25990,As the ages passed first one then another of the four great turrets were left to ruin until at last but a single tower housed the sadly reduced descendants of the once mighty lords of the estate.,HPL
id13775,"At this instant three sturdy waiters had just succeeded in depositing safely upon the table an enormous dish or trencher containing what I supposed to be the ""monstrum horrendum informe ingens cui lumen ademptum.""",EAP
id20571,That I had left at most but eleven years of further existence was made certain to me by the words which I read.,HPL
id23459,But he can never be thus divested at least never will be else we must imagine an action of God returning upon itself a purposeless and futile action.,EAP
id15286,About this wall a dense crowd were collected and many persons seemed to be examining a particular portion of it with very minute and eager attention.,EAP
id16192,"""Felix trembled violently as he said this.",MWS
id14231,Then he had departed alone.,HPL
id14902,At the principal gate of the palace he encountered three equerries.,EAP
id05307,We lengthened our tour into Scotland that we might see Loch Katrine and Loch Lomond; thence we crossed to Ireland and passed several weeks in the neighbourhood of Killarney.,MWS
id00156,Books indeed were his sole luxuries and in Paris these are easily obtained.,EAP
id06150,Undoubtedly he could still manage to walk away from the pull; so with great resolution he headed against it and dragged himself deliberately north along Garrison Street.,HPL
id17333,Thus the poor sufferer tried to comfort others and herself.,MWS
id00834,He pointed out to me the shifting colours of the landscape and the appearances of the sky.,MWS
id19069,Yet when the men of Ulthar and Nir and Hatheg crushed their fears and scaled that haunted steep by day in search of Barzai the Wise they found graven in the naked stone of the summit a curious and Cyclopean symbol fifty cubits wide as if the rock had been riven by some titanic chisel.,HPL
id21469,Then there was another our first whose exact fate we had never learned.,HPL
id11781,There were some trivial arrangements afterwards to be sure; but these formed no portion of the plan.,EAP
id19451,The book fell open almost of its own accord and as if from frequent consultation at this place to the repellent twelfth plate shewing a butcher's shop amongst the Anzique cannibals.,HPL
id11530,She could not disguise to herself that any change would separate her from him; now she saw him each day.,MWS
id22450,Now swift and splintering blows assailed the sickly panels and I saw the gleam of a tomahawk as it cleft the rending wood.,HPL
id22657,His results brought about by the very soul and essence of method have in truth the whole air of intuition.,EAP
id05856,In about fifteen minutes another and less reasonable bill is handed him by one who soon makes it evident that the first collector was a diddler and the original collection a diddle.,EAP
id14626,I ardently desired to understand them and bent every faculty towards that purpose but found it utterly impossible.,MWS
id05834,Travelling on land has been repeatedly accomplished at the rate of thirty miles per hour and indeed a much greater speed may be anticipated.,EAP
id00311,Henry deeply felt the misfortune of being debarred from a liberal education.,MWS
id11056,It was pleasant to see the haughty Raymond and reserved Perdita changed through happy love into prattling playful children both losing their characteristic dignity in the fulness of mutual contentment.,MWS
id02124,No flimsy creations were these houses for they were made to serve many a generation.,HPL
id25948,I approached and saw as if graven in bas relief upon the white surface the figure of a gigantic cat.,EAP
id03765,Besides I could not extract from my memory that hideous inhuman shriek we heard on the night we tried our first experiment in the deserted farmhouse at Arkham.,HPL
id18574,"""Another circumstance strengthened and confirmed these feelings.",MWS
id25570,This enabled me to see perpendicularly down but having found it impossible to place any similar contrivance overhead on account of the peculiar manner of closing up the opening there and the consequent wrinkles in the cloth I could expect to see no objects situated directly in my zenith.,EAP
id27259,"""This trait of kindness moved me sensibly.",MWS
id11198,The right arm of the Chess Player is extended at full length before him at right angles with his body and lying in an apparently careless position by the side of the board.,EAP
id09652,"And may it not thus happen that many far greater than Milton have contentedly remained ""mute and inglorious?""",EAP
id18209,Farther back within the domain the vision is impeded by an impenetrable screen of foliage.,EAP
id01659,What mainly troubled me was that the myriad footfalls made no sound and set up no echoes.,HPL
id13603,The greatest portion however those especially who belabor the populace with clubs are the principal courtiers of the palace executing as in duty bound some laudable comicality of the king's.,EAP
id24393,As soon as I perceived him I suddenly rose to escape from his observation by entering among the trees.,MWS
id20871,"An inquiry will afford us amusement"" I thought this an odd term so applied but said nothing ""and besides Le Bon once rendered me a service for which I am not ungrateful.",EAP
id10948,Upon turning it over I saw my own sketch upon the reverse just as I had made it.,EAP
id17718,I could have fancied while I looked at it that some eminent landscape painter had built it with his brush.,EAP
id10036,Mrs. Frye proposed telephoning the neighbours and Elmer was about to agree when the noise of splintering wood burst in upon their deliberations.,HPL
id04978,Pronounced well by his physician he returned to his quarters in three days; but to Professor Angell he was of no further assistance.,HPL
id17050,Half the chants of the Sabbat were patterned on this faintly overheard pulsing which no earthly ear could endure in its unveiled spatial fulness.,HPL
id05145,Below this picture was a miniature of William; and my tears flowed when I looked upon it.,MWS
id17297,There were several very large and heavy coins so worn that we could make nothing of their inscriptions.,EAP
id09800,There was no external door to the north wing and it also had only one window to the east.,EAP
id11566,I was scarcely hid when a young girl came running towards the spot where I was concealed laughing as if she ran from someone in sport.,MWS
id17568,You minutely described in these papers every step you took in the progress of your work; this history was mingled with accounts of domestic occurrences.,MWS
id12866,Now at nine o'clock of every morning in the week with the exception of Sunday the streets of the city are it is true thronged with people.,EAP
id20510,Years of the Titans were recalled but the host grew timid when he spoke of the dim first age of chaos before the gods or even the Elder Ones were born and when only the other gods came to dance on the peak of Hatheg Kla in the stony desert near Ulthar beyond the river Skai.,HPL
id13247,Rushing through the newly opened connexion I succeeded in bolting the northerly hall door before the lock could be turned; but even as I did so I heard the hall door of the third room the one from whose window I had hoped to reach the roof below being tried with a pass key.,HPL
id21586,Every shade of New England dialect from the uncouth syllables of the Puritan colonists to the precise rhetoric of fifty years ago seemed represented in that shadowy colloquy though it was only later that I noticed the fact.,HPL
id06278,Any being from any part of three dimensional space could probably survive in the fourth dimension; and its survival of the second stage would depend upon what alien part of three dimensional space it might select for its re entry.,HPL
id07943,We had receded from the crowd; and ascending the steps of the terrace sought the Castle.,MWS
id23942,"""Clever fellow"" said the Foreign.",EAP
id27097,Soon after the departure of the couple a gang of miscreants made their appearance behaved boisterously ate and drank without making payment followed in the route of the young man and girl returned to the inn about dusk and re crossed the river as if in great haste.,EAP
id07149,For it is evident that such a medium must in retarding the comet's velocity increase its centripetal by weakening its centrifugal force.,EAP
id09056,"I took it for granted therefore that the earth still held them; and you will scarcely be surprised when I tell you that I felt a hope nearly amounting to certainty that the parchment so strangely found involved a lost record of the place of deposit.""",EAP
id08382,The talents and courage of Raymond were highly esteemed among the Greeks.,MWS
id15138,It might be actively hostile or it might be dictated merely by blind motives of self preservation.,HPL
id18446,I struggled to reason off the nervousness which had dominion over me.,EAP
id08177,They had traded the false gods of fear and blind piety for those of licence and anarchy.,HPL
id04239,The pieces of her frock torn out by the bushes were about three inches wide and six inches long.,EAP
id19009,Her understanding was clear and comprehensive her imagination vivid; she was sincere generous and reasonable.,MWS
id17743,Despite a conservative training or because of it for humdrum lives breed wistful longings of the unknown he swore a great oath to scale that avoided northern cliff and visit the abnormally antique grey cottage in the sky.,HPL
id21756,This dwarf he supposed to conceal himself during the opening of the box by thrusting his legs into two hollow cylinders which were represented to be but which are not among the machinery in the cupboard No. I while his body was out of the box entirely and covered by the drapery of the Turk.,EAP
id06297,But I disliked it when I fancied I heard the closing of one of the windows that the settle faced as if it had been stealthily opened.,HPL
id14819,The Countess had failed in this design with regard to her children; perhaps she hoped to find the next remove in birth more tractable.,MWS
id22618,Let not these aspirations be attributed to vanity.,MWS
id12531,This promise of a renewed lease of life turned rugged natures to melting tenderness and by contrast filled the soft with harsh and unnatural sentiments.,MWS
id13915,No star had been visible at that point before.,HPL
id07258,"I would be an editor I would be a poet I would pen stanzas to the 'Oil of Bob.' Pardon me and aid me to be great"" ""My dear Thingum"" replied my father I had been christened Thingum after a wealthy relative so surnamed ""My dear Thingum"" he said raising me from my knees by the ears ""Thingum my boy you're a trump and take after your father in having a soul.",EAP
id06207,The late setting of the moon and the extreme caution I was obliged to use in this my third expedition consumed so much time that something like a qualm of fear came over me when I perceived dark night yield to twilight.,MWS
id05222,The most merciful thing in the world I think is the inability of the human mind to correlate all its contents.,HPL
id18791,Perhaps the eye of a scrutinizing observer might have discovered a barely perceptible fissure which extending from the roof of the building in front made its way down the wall in a zigzag direction until it became lost in the sullen waters of the tarn.,EAP
id05554,When two days after my frightful crawl through that crypt of the eyes and claw I learned that a thing had malignly hovered twenty miles away at the same instant the eyes were glaring at me I experienced virtual convulsions of fright.,HPL
id12556,What the others were in their own dimensional sphere or spheres he dared not try to think.,HPL
id02901,This complexion the 'hitch' in the bandage and the 'sailor's knot' with which the bonnet ribbon is tied point to a seaman.,EAP
id10411,Well then you shall be married precisely precisely now mind when three Sundays come together in a week Do you hear me sir What are you gaping at?,EAP
id05528,Oh Sun how beautiful thou art And how glorious is the golden ocean that receives thee My heart is at peace I feel no sorrow a holy love stills my senses I feel as if my mind also partook of the inexpressible loveliness of surrounding nature What shall I do?,MWS
id10422,In my delirium I had said much but found that my words had been given scant attention.,HPL
id12572,I little expected in this enlightened and scientific age to find a disciple of Albertus Magnus and Paracelsus.,MWS
id01412,Our telescopes and our mathematical investigations assure us on every hand notwithstanding the cant of the more ignorant of the priesthood that space and therefore that bulk is an important consideration in the eyes of the Almighty.,EAP
id12633,Then hoary Nodens reached forth a wizened hand and helped Olney and his host into the vast shell whereat the conches and the gongs set up a wild and awesome clamour.,HPL
id26082,In the narrow limits of that bower it would have been scarcely possible that the petticoat and scarf should have retained a position upon the stones when subjected to the brushing to and fro of many struggling persons.,EAP
id08394,The powerful and unjust cowered at the steps of your judgment seat and the poor and oppressed arose like morn awakened flowers under the sunshine of your protection.,MWS
id26116,"""Oh Justine"" said she. ""Why did you rob me of my last consolation?",MWS
id03701,He drew a glowing picture of its present situation.,MWS
id05131,"""It is"" said Dupin; ""and upon inquiring of the boy by what means he effected the thorough identification in which his success consisted I received answer as follows: 'When I wish to find out how wise or how stupid or how good or how wicked is any one or what are his thoughts at the moment I fashion the expression of my face as accurately as possible in accordance with the expression of his and then wait to see what thoughts or sentiments arise in my mind or heart as if to match or correspond with the expression.'",EAP
id11025,Just then however chance made the opening which my questions had been unable to make; and the wheezing ancient's rambling took a turn that caused me to lean forward and listen alertly.,HPL
id12208,If they all came from the same object it must have been an hysterical delirious monstrosity.,HPL
id00959,At that moment I heard the steps of my younger protectors.,MWS
id21614,"""All dat done Massa Will; mighty easy ting for to put de bug fru de hole look out for him dare below"" During this colloquy no portion of Jupiter's person could be seen; but the beetle which he had suffered to descend was now visible at the end of the string and glistened like a globe of burnished gold in the last rays of the setting sun some of which still faintly illumined the eminence upon which we stood.",EAP
id17750,I am its dupe no longer.,MWS
id01969,"""While I listened in an extremity of astonishment which I need not attempt to describe a strong and brief gust of wind bore off the incumbent fog as if by the wand of an enchanter.",EAP
id05688,And yet I am happy; mothers lament their children wives lose their husbands while you and my children are left to me.,MWS
id09340,This latter print endeavors to combat that portion of the paragraph which has reference to 'drowned bodies' only by citing some five or six instances in which the bodies of individuals known to be drowned were found floating after the lapse of less time than is insisted upon by L'Etoile.,EAP
id03126,Was sure that the shrill voice was that of a man of a Frenchman.,EAP
id06889,He might with equal interest to us have added a commentary to describe the unknown and unimaginable lineaments of the creatures who would then occupy the vacated dwelling of mankind.,MWS
id20416,We kept on in this manner throughout the day with no material incident and as the shades of night closed around us we made a rough estimate of the distance traversed.,EAP
id07369,I have copied them chiefly to show you the extreme remissness of the police who as far as I can understand from the Prefect have not troubled themselves in any respect with an examination of the naval officer alluded to.,EAP
id27122,The events that immediately followed on my arrival at Windsor changed this view of things.,MWS
id16369,Yes that paper was the reason I dropped Pickman; Richard Upton Pickman the greatest artist I have ever known and the foulest being that ever leaped the bounds of life into the pits of myth and madness.,HPL
id22850,Putting on a mask of black silk and drawing a roquelaire closely about my person I suffered him to hurry me to my palazzo.,EAP
id08030,Only his lividly inclined complexion and coldness of touch could have afforded a physical basis for this feeling and even these things should have been excusable considering the man's known invalidism.,HPL
id14324,Country and village people however canvassed the place with infinite care; overturning everything in the house sounding ponds and brooks beating down bushes and ransacking the nearby forests.,HPL
id09113,At first content to view the scene as an all observant uncorporeal presence I now desired to define my relation to it and to speak my mind amongst the grave men who conversed each day in the public squares.,HPL
id10833,And now behold with the first imagination of danger or if you will the first mighty and terrific trial of your courage you shrink away and are content to be handed down as men who had not strength enough to endure cold and peril; and so poor souls they were chilly and returned to their warm firesides.,MWS
id20995,The cellars of the chateau were well stocked with wine; and these madmen are just the devils that know how to drink it.,EAP
id00009,Alien it indeed was to all art and literature which sane and balanced readers know but we recognised it as the thing hinted of in the forbidden Necronomicon of the mad Arab Abdul Alhazred; the ghastly soul symbol of the corpse eating cult of inaccessible Leng in Central Asia.,HPL
id23196,The boat did not at once descend to match the greater ocean depth so I was soon forced to adjust the searchlight to cast a sharply downward beam.,HPL
id10820,He bitterly deplored the false pride which led his friend to a conduct so little worthy of the affection that united them.,MWS
id25239,"The laughter died away when a well known and abhorred voice apparently close to my ear addressed me in an audible whisper ""I am satisfied miserable wretch You have determined to live and I am satisfied.""",MWS
id25600,"""Nevertheless I will try it"" said my companion; ""it may lead to the real cavern.",MWS
id15312,I cannot number the birds that I have saved during the long and severe winters of that climate; or the hares and rabbits that I have defended from the attacks of our dogs or have nursed when accidentally wounded.,MWS
id25940,You I conceive would be tickled by a better sight of sartain other years than your fancy affords you; so be pleased to hold back any fright at what I design to shew.,HPL
id19743,The tints of the green carpet deepened; and when one by one the white daisies shrank away there sprang up in place of them ten by ten of the ruby red asphodel.,EAP
id18044,Those of 'Oppodeldoc' will not scan.,EAP
id01821,I paint in the cellar where the inspiration is thickest but I've other rooms furnished on the ground floor.,HPL
id11796,"""Killin' sheep was kinder more fun but d'ye know 'twan't quite satisfyin'.",HPL
id23247,"Leave me; I am inexorable.""",MWS
id07634,He had never given me insult.,EAP
id11079,Witness led the way up stairs.,EAP
id12517,The moans of the sick men were decidedly annoying; but since they did not appear to demoralise the rest of the crew we did not resort to extreme measures.,HPL
id27279,On the thirteenth day they reached the mountain's lonely base and Atal spoke of his fears.,HPL
id19250,Taking now a spade himself and giving one to Jupiter and one to me Legrand begged us to set about digging as quickly as possible.,EAP
id09243,No it wasn't the paintings I saw in that place; though I'll swear they were enough to get him ostracised in nine tenths of the homes and clubs of Boston and I guess you won't wonder now why I have to steer clear of subways and cellars.,HPL
id06352,Most o' the folks araound the taown took the hard times kind o' sheep like an' resigned but they was in bad shape because the fishin' was peterin' aout an' the mills wa'n't doin' none too well.,HPL
id13115,But this was not enough.,MWS
id21178,And peradventure it may be that Oonai the city of lutes and dancing is even the fair Aira thou seekest for it is told that thou hast not known Aira since old days and a name often changeth.,HPL
id20107,"What Roodmas horror fastened itself on the world in half human flesh and blood?""",HPL
id22713,But the unparticled matter set in motion by a law or quality existing within itself is thinking.,EAP
id13654,Then we split up into narrow columns each of which seemed drawn in a different direction.,HPL
id27949,In this particular instance it will be understood as most probable that she proceeded upon a route of more than average diversity from her accustomed ones.,EAP
id10350,In my case the primary object was invariably frivolous although assuming through the medium of my distempered vision a refracted and unreal importance.,EAP
id04932,I must not be trifled with and I demand an answer.,MWS
id27125,Slaves' cries ascended from a scene of desolation and no more amidst the olive grove rose the gleaming colonnades of that vast hall wherein Musides had dreamed and toiled.,HPL
id01043,I held the lantern motionless.,EAP
id15850,Write dearest Victor one line one word will be a blessing to us.,MWS
id13569,She had in her own youth been deeply and permanently impressed with the horror of dissipation by the case of one to whom she had for a time been engaged.,HPL
id25190,Statues and paintings there were all of fiendish subjects and some executed by St. John and myself.,HPL
id07966,I then smiled gaily to find the deed so far done.,EAP
id04041,Raymond was actuated by far other feelings.,MWS
id17870,"I foresee that the plan which you mark out in your letter will not endure long; but you are mistress of yourself and it is my sincere wish to contribute as far as you will permit me to your happiness.""",MWS
id00334,After hand cuffing him they searched his room or rather rooms for it appears he occupied all the mansarde.,EAP
id07978,"""This is kind"" she cried; ""this is noble my own beloved O fear not disgrace or lowly fortune while you have your Perdita; fear not sorrow while our child lives and smiles.",MWS
id08198,I read and studied the wild fancies of these writers with delight; they appeared to me treasures known to few besides myself.,MWS
id19071,"I dare say he will be glad to see you.""",MWS
id14798,All Athens accompanied us for several miles.,MWS
id10068,The huge old house with its countless subdivisions had several large chambers communicating with each other where slept the greater number of the students.,EAP
id24200,"Therein walk only daemons and mad things that are no longer men and the streets are white with the unburied bones of those who have looked upon the eidolon Lathi that reigns over the city.""",HPL
id11525,Legs to all this offered not the slightest resistance but sat down as he was directed; while the gallant Hugh removing his coffin tressel from its station near the head of the table to the vicinity of the little consumptive lady in the winding sheet plumped down by her side in high glee and pouring out a skull of red wine quaffed it to their better acquaintance.,EAP
id12435,In the concluding sentences it quoted the noble words of Ariosto Il pover hommy che non sera corty And have a combat tenty erry morty; thus comparing me to the hero who in the heat of the combat not perceiving that he was dead continued to contest the battle with inextinguishable valor.,EAP
id23534,I rambled away from them.,MWS
id03181,It was the same for more than an hour when the final throaty rattle came.,HPL
id09131,And the trees still sheltered singing birds and at evening the moon and stars looked down upon dewy blossoms in the walled rose gardens.,HPL
